Sigourney Weaver, Sarah Michelle Gellar, Patrick Warburton, George Carlin
Miley Cyrus, Liam Hemsworth, Greg Kinnear, Bobby Coleman
Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng
Janet Jackson, Tyler Perry, Jill Scott, Sharon Leal
Kristen Stewart, Dakota Fanning, Michael Shannon, Stella Maeve
Steve Carell, Tina Fey, Mark Wahlberg, Taraji P. Henson
Chris Rock, Martin Lawrence, Keith David, Loretta Devine
Aaron Johnson, Nicolas Cage, Chlo\u00eb Grace Moretz, Garrett M. Brown
Jennifer Lopez, Alex O'Loughlin, Michaela Watkins, Eric Christian Olsen
Demi Moore, David Duchovny, Amber Heard, Ben Hollingsworth
Idris Elba, Zoe Saldana, Jeffrey Dean Morgan, Chris Evans
Naomi Watts, Annette Bening, Kerry Washington, Alexandria M. Salling
Jackie Earle Haley, Rooney Mara, Kyle Gallner, Katie Cassidy
Brendan Fraser, Brooke Shields, Ricky Garcia, Eugene Cordero
Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow, Don Cheadle
Queen Latifah, Common, Paula Patton, James Pickens Jr.
Amanda Seyfried, Gael Garc\u00eda Bernal, Vanessa Redgrave, Marcia DeBonis
Russell Crowe, Cate Blanchett, Matthew Macfadyen, Max von Sydow
Will Forte, Kristen Wiig, Val Kilmer, Ryan Phillippe
Mike Myers, Cameron Diaz, Eddie Murphy, Antonio Banderas
Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon
Jake Gyllenhaal, Gemma Arterton, Ben Kingsley, Alfred Molina
Michael Douglas, Susan Sarandon, Jesse Eisenberg, Danny DeVito
Jonah Hill, Russell Brand, Elisabeth Moss, Rose Byrne
Katherine Heigl, Ashton Kutcher, Tom Selleck, Catherine O'Hara
Owen Wilson, Judy Greer, Lee Pace, George
Casey Affleck, Kate Hudson, Jessica Alba, Ned Beatty
Liam Neeson, Bradley Cooper, Sharlto Copley, Jessica Biel
Jackie Chan, Jaden Smith, Taraji P. Henson, Wenwen Han
Josh Brolin, Megan Fox, John Malkovich, Michael Fassbender
Catherine Keener, Oliver Platt, Rebecca Hall, Elise Ivy
Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty
Tom Cruise, Cameron Diaz, Peter Sarsgaard, Jordi Moll\u00e0
Adam Sandler, Salma Hayek, Kevin James, Chris Rock
Kristen Stewart, Robert Pattinson, Taylor Lautner, Xavier Samuel
Noah Ringer, Nicola Peltz, Jackson Rathbone, Dev Patel
Steve Carell, Jason Segel, Russell Brand, Julie Andrews
Adrien Brody, Laurence Fishburne, Topher Grace, Alice Braga
Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer
Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe
Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski
Bette Midler, Chris O'Donnell, Jack McBrayer, James Marsden
Zac Efron, Kim Basinger, Charlie Tahan, Amanda Crew
Steve Carell, Paul Rudd, Stephanie Szostak, Zach Galifianakis
Annette Bening, Julianne Moore, Mark Ruffalo, Mia Wasikowska
Sharni Vinson, Rick Malambri, Adam G. Sevani, Alyson Stoner
Will Ferrell, Mark Wahlberg, Derek Jeter, Samuel L. Jackson
Julia Roberts, Javier Bardem, Richard Jenkins, Viola Davis
Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Alison Pill
Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren
Jenn Proske, Matt Lanter, Diedrich Bader, Chris Riggi
Emma Thompson, Maggie Gyllenhaal, Ralph Fiennes, Oscar Steer
Elisabeth Shue, Jerry O'Connell, Richard Dreyfuss, Ving Rhames
Jennifer Aniston, Jason Bateman, Patrick Wilson, Jeff Goldblum
Chris Brown, Hayden Christensen, Matt Dillon, Michael Ealy
Patrick Fabian, Ashley Bell, Iris Bahr, Louis Herthum
Anthony Hopkins, Naomi Watts, Josh Brolin, Gemma Jones
George Clooney, Paolo Bonacelli, Violante Placido, Thekla Reuten
Drew Barrymore, Justin Long, Ron Livingston, Charlie Day
Danny Trejo, Michelle Rodriguez, Robert De Niro, Jessica Alba
John C. Reilly, Marisa Tomei, Jonah Hill, Catherine Keener
Milla Jovovich, Ali Larter, Wentworth Miller, Kim Coates
Hayden Panettiere, Christina Ricci, Justin Long, Dennis Hopper
Chris Messina, Caroline Dhavernas, Bokeem Woodbine, Logan Marshall-Green
Emma Stone, Amanda Bynes, Penn Badgley, Dan Byrd
Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner
Jennifer Lawrence, John Hawkes, Garret Dillahunt, Isaiah Stone
Jim Sturgess, Hugo Weaving, David Wenham, Emily Barclay
Shia LaBeouf, Michael Douglas, Carey Mulligan, Josh Brolin
Kristen Bell, Odette Annable, Sigourney Weaver, Jamie Lee Curtis
Ryan Reynolds, Jos\u00e9 Luis Garc\u00eda P\u00e9rez, Robert Paterson, Stephen Tobolowsky
Ren\u00e9e Zellweger, Ian McShane, Jodelle Ferland, Bradley Cooper
Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Rooney Mara
Edward Norton, Milla Jovovich, Robert De Niro, Frances Conroy
Katherine Heigl, Josh Duhamel, Josh Lucas, Alexis Clagett
Max Thieriot, John Magaro, Denzel Whitaker, Zena Grey
Hilary Swank, Sam Rockwell, Melissa Leo, Thomas D. Mahard
Johnny Knoxville, Steve-O, Bam Margera, Ryan Dunn
Bruce Willis, Helen Mirren, Morgan Freeman, Mary-Louise Parker
Katie Featherston, Micah Sloat, Molly Ephraim, David Bierend
Tobin Bell, Costas Mandylor, Betsy Russell, Cary Elwes
Robert Downey Jr., Zach Galifianakis, Michelle Monaghan, Jamie Foxx
Janet Jackson, Anika Noni Rose, Whoopi Goldberg, Kimberly Elise
Will Ferrell, Jonah Hill, Brad Pitt, Tina Fey
Rachel McAdams, Harrison Ford, Diane Keaton, Noah Bean
Eric Balfour, Donald Faison, Scottie Thompson, Brittany Daniel
Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee
Daniel Radcliffe, Emma Watson, Rupert Grint, Bill Nighy
Russell Crowe, Elizabeth Banks, Liam Neeson, Michael Buie
Cher, Christina Aguilera, Alan Cumming, Eric Dane
Dwayne Johnson, Billy Bob Thornton, Maggie Grace, Mauricio Lopez
Jake Gyllenhaal, Anne Hathaway, Judy Greer, Oliver Platt
Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman
Keira Knightley, Carey Mulligan, Andrew Garfield, Izzy Meikle-Small
Ryan Gosling, Kirsten Dunst, Frank Langella, Lily Rabe
Ben Barnes, Skandar Keynes, Georgie Henley, Will Poulter
Johnny Depp, Angelina Jolie, Paul Bettany, Timothy Dalton
Natalie Portman, Mila Kunis, Vincent Cassel, Winona Ryder
Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo
Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner
Dan Aykroyd, Justin Timberlake, Anna Faris, Tom Cavanagh
Ben Stiller, Teri Polo, Robert De Niro, Owen Wilson
Jeff Bridges, Matt Damon, Hailee Steinfeld, Josh Brolin
Colin Firth, Geoffrey Rush, Helena Bonham Carter, Derek Jacobi
Jack Black, Emily Blunt, Jason Segel, Amanda Peet
Garrett Hedlund, Gwyneth Paltrow, Leighton Meester, Tim McGraw
Nicolas Cage, Ron Perlman, Claire Foy, Stephen Campbell Moore
Vince Vaughn, Kevin James, Winona Ryder, Jennifer Connelly
Seth Rogen, Jay Chou, Christoph Waltz, Cameron Diaz
Natalie Portman, Ashton Kutcher, Kevin Kline, Cary Elwes
Ben Affleck, Chris Cooper, Tommy Lee Jones, Suzanne Rico
James Franco, Amber Tamblyn, Kate Mara, Sean Bott
Jason Statham, Ben Foster, Donald Sutherland, Tony Goldwyn
Colin O'Donoghue, Anthony Hopkins, Ciarán Hinds, Alice Braga
Rhys Wakefield, Allison Cratchley, Christopher Baker, Richard Roxburgh
Minka Kelly, Leighton Meester, Cam Gigandet, Shirley Norris
Rachel Bilson, Tom Sturridge, Richard Jenkins, Blythe Danner
Hayden Christensen, Thandie Newton, John Leguizamo, Jacob Latimore
James McAvoy, Emily Blunt, Maggie Smith, Ashley Jensen
Adam Sandler, Jennifer Aniston, Brooklyn Decker, Nicole Kidman
Channing Tatum, Jamie Bell, Donald Sutherland, Istv\u00e1n G\u00f6z
Alex Pettyfer, Timothy Olyphant, Dianna Agron, Teresa Palmer
Liam Neeson, Diane Kruger, January Jones, Aidan Quinn
Nicolas Cage, Amber Heard, William Fichtner, Billy Burke
Owen Wilson, Jason Sudeikis, Christina Applegate, Jenna Fischer
Alex Pettyfer, Vanessa Hudgens, Mary-Kate Olsen, Justin Bradley
Johnny Depp, Isla Fisher, Timothy Olyphant, Abigail Breslin
Topher Grace, Anna Faris, Dan Fogler, Teresa Palmer
Matt Damon, Emily Blunt, Michael Kelly, Anthony Mackie
Aaron Eckhart, Michelle Rodriguez, Bridget Moynahan, Ramon Rodriguez
Seth Green, Joan Cusack, Dan Fogler, Elisabeth Harnois
Amanda Seyfried, Lukas Haas, Gary Oldman, Billy Burke
Bradley Cooper, Anna Friel, Abbie Cornish, Robert De Niro
Simon Pegg, Nick Frost, Seth Rogen, Mia Stallard
Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy
Zachary Gordon, Devon Bostick, Robert Capron, Rachael Harris
Emily Browning, Vanessa Hudgens, Abbie Cornish, Jena Malone
Russell Brand, James Marsden, Elizabeth Perkins, Kaley Cuoco
Patrick Wilson, Rose Byrne, Ty Simpkins, Lin Shaye
Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga, Jeffrey Wright
Russell Brand, Helen Mirren, Jennifer Garner, Greta Gerwig
Saoirse Ronan, Cate Blanchett, Eric Bana, Vicky Krieps
Jesse Eisenberg, Anne Hathaway, George Lopez, Karen Disher
AnnaSophia Robb, Dennis Quaid, Helen Hunt, Lorraine Nicholson
Danny McBride, Natalie Portman, James Franco, Rasmus Hardiker
Neve Campbell, Courteney Cox, David Arquette, Lucy Hale
Robin Wright, James McAvoy, Tom Wilkinson, Kevin Kline
Robert Pattinson, Reese Witherspoon, Christoph Waltz, Paul Schneider
Ed Helms, John C. Reilly, Anne Heche, Isiah Whitlock Jr.
Brandon Routh, Anita Briem, Sam Huntington, Taye Diggs
Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster
Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston
Kristen Wiig, Maya Rudolph, Rose Byrne, Terry Crews
Paul Bettany, Cam Gigandet, Maggie Q, Karl Urban
Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken
Mel Gibson, Jodie Foster, Anton Yelchin, Cherry Jones
Johnny Depp, Pen\u00e9lope Cruz, Ian McShane, Geoffrey Rush
Jack Black, Angelina Jolie, Jackie Chan, Dustin Hoffman
Bradley Cooper, Zach Galifianakis, Ed Helms, Justin Bartha
Ewan McGregor, Christopher Plummer, M\u00e9lanie Laurent, Goran Visnjic
James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon
Owen Wilson, Rachel McAdams, Kathy Bates, Kurt Fuller
Elle Fanning, Amanda Michalka, Kyle Chandler, Joel Courtney
Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong
Jim Carrey, Carla Gugino, Angela Lansbury, Ophelia Lovibond
Cameron Diaz, Jason Segel, Justin Timberlake, Lucy Punch
Owen Wilson, Larry the Cable Guy, Michael Caine, Emily Mortimer
Joseph Gordon-Levitt, Devin Brochu, Natalie Portman, Rainn Wilson
Shia LaBeouf, Rosie Huntington-Whiteley, Tyrese Gibson, Josh Duhamel
Tom Hanks, Julia Roberts, Sarah Mahoney, Roxana Ortega
Selena Gomez, Leighton Meester, Katie Cassidy, Cory Monteith
Jason Bateman, Charlie Day, Jason Sudeikis, P.J. Byrne
Kevin James, Rosario Dawson, Leslie Bibb, Ken Jeong
Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon
Jim Cummings, Craig Ferguson, John Cleese, Bud Luckey
Chris Evans, Hugo Weaving, Samuel L. Jackson, Hayley Atwell
Mila Kunis, Justin Timberlake, Patricia Clarkson, Jenna Elfman
Daniel Craig, Harrison Ford, Olivia Wilde, Sam Rockwell
Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone
Hank Azaria, Katy Perry, Jonathan Winters, Neil Patrick Harris
James Franco, Andy Serkis, Freida Pinto, John Lithgow
Jason Bateman, Ryan Reynolds, Olivia Wilde, Leslie Mann
Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard
Jesse Eisenberg, Danny McBride, Nick Swardson, Aziz Ansari
Nicholas D'Agosto, Emma Bell, Arlen Escarpeta, Miles Fisher
Jason Momoa, Ron Perlman, Rose McGowan, Stephen Lang
Anton Yelchin, Colin Farrell, David Tennant, Toni Collette
Anne Hathaway, Jim Sturgess, Patricia Clarkson, Tom Mison
Jessica Alba, Jeremy Piven, Joel McHale, Rowan Blanchard
Zoe Saldana, Michael Vartan, Callum Blue, Jordi Moll\u00e0
Katie Holmes, Guy Pearce, Bailee Madison, Bruce Gleeson
Paul Rudd, Elizabeth Banks, Zooey Deschanel, Nick Sullivan
Helen Mirren, Sam Worthington, Tom Wilkinson, Ciar\u00e1n Hinds
Warren Christie, Ryan Robbins, Ali Liebert, Lloyd Owen
Sara Paxton, Dustin Milligan, Chris Carmack, Katharine McPhee
Matt Damon, Kate Winslet, Jude Law, Gwyneth Paltrow
Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison
Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks
Taylor Lautner, Lily Collins, Alfred Molina, Jake Andolina
Morgan Freeman, Ashley Judd, Harry Connick Jr., Nathan Gamble
Jason Statham, Clive Owen, Robert De Niro, Dominic Purcell
Brad Pitt, Robin Wright, Jonah Hill, Philip Seymour Hoffman
Zachary Quinto, Stanley Tucci, Kevin Spacey, Paul Bettany
Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard
Michael Fassbender, Keira Knightley, Viggo Mortensen, Vincent Cassel
Daniel Craig, Rachel Weisz, Naomi Watts, Elias Koteas
Michael Parks, Melissa Leo, John Goodman, Michael Angarano
Anna Faris, Chris Evans, Ari Graynor, Blythe Danner
Hugh Jackman, Evangeline Lilly, Dakota Goyo, Anthony Mackie
Paul Giamatti, George Clooney, Philip Seymour Hoffman, Ryan Gosling
Brit Marling, William Mapother, Matthew-Lee Erlbach, DJ Flava
Will Ferrell, Rebecca Hall, Christopher Jordan Wallace, Michael Pe\u00f1a
Kenny Wormald, Julianne Hough, Dennis Quaid, Andie MacDowell
Owen Wilson, Jack Black, Steve Martin, Zahf Paroo
Mary Elizabeth Winstead, Joel Edgerton, Ulrich Thomsen, Eric Christian Olsen
Rowan Atkinson, Rosamund Pike, Dominic West, Roger Barclay
Chloe Csengery, Jessica Tyler Brown, Christopher Nicholas Smith, Lauren Bittner
Logan Lerman, Matthew Macfadyen, Ray Stevenson, Milla Jovovich
Nicolas Cage, Nicole Kidman, Cam Gigandet, Ben Mendelsohn
Rhys Ifans, Vanessa Redgrave, David Thewlis, Sebastian Armesto
Justin Timberlake, Amanda Seyfried, Cillian Murphy, Shyloh Oostwald
Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton
Johnny Depp, Giovanni Ribisi, Aaron Eckhart, Michael Rispoli
Gerard Butler, Michelle Monaghan, Michael Shannon, Kathy Baker
Kal Penn, John Cho, Neil Patrick Harris, Patton Oswalt
Channing Tatum, Al Pacino, Juliette Binoche, James Ransone
Eddie Murphy, Ben Stiller, Casey Affleck, Alan Alda
Michael Shannon, Jessica Chastain, Shea Whigham, Tova Stewart
Henry Cavill, Mickey Rourke, John Hurt, Stephen Dorff
Leonardo DiCaprio, Armie Hammer, Naomi Watts, Josh Hamilton
Adam Sandler, Katie Holmes, Al Pacino, Elodie Tougne
Elijah Wood, Robin Williams, Pink, Carlos Alazraqui
Kristen Stewart, Robert Pattinson, Taylor Lautner, Gil Birmingham
James McAvoy, Jim Broadbent, Bill Nighy, Hugh Laurie
Amy Adams, Jason Segel, Chris Cooper, Rashida Jones
George Clooney, Shailene Woodley, Amara Miller, Nick Krause
Michelle Williams, Eddie Redmayne, Kenneth Branagh, Julia Ormond
